year,   jan,    feb,    mar,    apr,    may,    jun,   jul,   aug,   sep,   oct,   nov,   dec,    win,    spr,    sum,    aut,    ann
1865, 101.7,   63.1,   33.3,   15.4,   73.8,   48.1,  71.9, 103.7,   4.7, 200.9,  90.2,  58.2,  198.1,  122.4,  223.6,  295.9,  865.0
1866, 118.9,  113.5,   55.4,   53.3,   37.1,   71.9,  52.2,  69.8, 151.6,  41.6,  51.6,  60.6,  290.7,  145.9,  193.9,  244.8,  877.6
1867,  89.3,   51.4,   78.8,   56.3,   53.5,   41.3, 109.1,  54.9,  54.3,  74.9,  25.7,  44.5,  201.3,  188.6,  205.3,  155.0,  734.0
1868, 105.5,   36.7,   42.9,   57.9,   30.5,   13.5,  35.4,  98.5,  82.8,  70.3,  44.2, 163.1,  186.6,  131.3,  147.4,  197.2,  781.2
1869,  91.6,   72.0,   47.9,   33.3,  104.8,   34.9,  17.1,  33.4, 112.3,  55.8,  57.6,  95.1,  326.7,  186.0,   85.4,  225.8,  755.8
1870,  47.5,   52.4,   47.7,   10.3,   33.0,   11.1,  35.9,  50.8,  50.4, 109.8,  51.8,  76.9,  195.1,   91.0,   97.8,  212.0,  577.7
1871,  68.5,   38.9,   37.3,   93.8,   18.3,   73.2,  96.1,  34.8, 123.8,  42.9,  17.2,  49.3,  184.3,  149.5,  204.1,  183.9,  694.1
1872, 143.7,   50.9,   63.1,   40.5,   78.5,   72.8,  77.7,  51.1,  45.0, 128.1, 127.2, 132.8,  243.9,  182.1,  201.5,  300.3, 1011.3
1873,  98.5,   51.0,   60.4,   22.1,   37.2,   54.6,  54.5,  64.0,  64.9,  82.4,  66.3,  16.5,  282.3,  119.7,  173.2,  213.7,  672.5
1874,  52.3,   49.7,   17.5,   52.6,   23.0,   50.3,  32.0,  56.8,  89.1, 109.7,  68.7,  65.8,  118.5,   93.1,  139.1,  267.5,  667.5
1875, 105.7,   46.4,   24.1,   35.9,   44.4,   73.6, 126.9,  41.0,  57.4, 139.5, 116.9,  34.6,  217.9,  104.3,  241.6,  313.7,  846.4
1876,  33.8,   73.2,   84.6,   60.9,   22.1,   44.5,  17.8,  79.4, 111.5,  43.0,  91.1, 180.3,  141.6,  167.7,  141.7,  245.6,  842.3
1877, 155.7,   47.0,   64.8,   76.4,   63.7,   28.9,  84.8,  83.1,  43.6,  64.4, 162.1,  57.1,  383.0,  204.9,  196.8,  270.1,  931.6
1878,  39.8,   48.9,   36.9,   77.0,  104.6,   57.6,  37.0, 124.8,  38.5,  84.7,  91.7,  47.6,  145.8,  218.5,  219.5,  214.9,  789.2
1879,  84.7,  103.1,   20.5,   78.4,   82.1,  116.7,  98.0, 137.0,  83.9,  25.6,  20.7,  24.6,  235.5,  181.0,  351.6,  130.2,  875.3
1880,  12.9,   83.7,   26.9,   50.7,   10.8,   69.7, 105.5,  30.0, 110.9, 161.1,  79.7,  93.9,  121.2,   88.4,  205.2,  351.8,  836.0
1881,  45.1,   76.9,   58.4,   16.2,   32.4,   57.6,  47.2, 129.2,  59.8,  61.4,  99.0,  85.8,  215.9,  107.0,  234.0,  220.2,  769.0
1882,  38.3,   43.3,   33.1,   91.1,   42.6,   78.1,  78.8,  48.4,  74.9, 170.4,  92.1,  74.9,  167.5,  166.8,  205.2,  337.4,  866.0
1883,  69.3,  110.0,   27.1,   34.5,   55.0,   50.9,  72.6,  25.2,  95.7,  65.0, 100.3,  26.4,  254.3,  116.5,  148.7,  261.0,  732.0
1884,  77.4,   51.8,   52.8,   41.3,   19.8,   56.5,  59.5,  31.8,  68.3,  33.1,  35.9,  87.1,  155.6,  113.9,  147.8,  137.3,  615.3
1885,  62.5,   90.7,   44.8,   43.3,   79.3,   40.1,   8.9,  26.5, 119.5, 103.3,  90.1,  34.6,  240.3,  167.4,   75.4,  313.0,  743.6
1886, 104.5,   17.1,   48.2,   50.8,  100.2,   20.9,  67.8,  37.4,  47.8,  99.3,  92.7, 133.7,  156.2,  199.2,  126.0,  239.8,  820.4
1887,  64.8,   19.2,   42.6,   38.4,   41.0,   28.9,  22.1,  56.0,  71.2,  42.8, 107.2,  54.2,  217.8,  122.0,  107.0,  221.2,  588.4
1888,  25.6,   36.7,   92.8,   45.1,   38.3,   75.1, 131.9,  54.8,  32.0,  44.9, 121.6,  52.7,  116.5,  176.2,  261.7,  198.6,  751.6
1889,  25.4,   57.7,   55.9,   63.6,   62.9,   30.9,  67.8,  64.9,  33.3, 128.5,  31.1,  46.1,  135.8,  182.4,  163.6,  192.9,  668.1
1890,  80.3,   24.4,   44.7,   60.3,   46.6,   68.0,  97.6,  77.3,  30.0,  30.8,  62.3,  22.7,  150.8,  151.6,  242.8,  123.0,  644.8
1891,  62.3,    1.3,   59.3,   21.3,   72.0,   39.0,  74.0, 133.9,  34.7, 186.0,  78.6, 103.9,   86.4,  152.5,  246.9,  299.3,  866.3
1892,  21.4,   36.8,   30.5,   27.3,   25.1,   58.5,  60.2,  93.9,  67.6, 122.2,  70.7,  44.5,  162.1,   83.0,  212.6,  260.5,  658.8
1893,  51.9,   96.7,   11.6,    1.4,   22.9,   26.0,  87.7,  30.6,  51.0, 104.2,  61.9,  73.0,  193.2,   35.9,  144.3,  217.1,  619.0
1894,  87.3,   52.9,   40.7,   55.8,   47.1,   57.5, 117.6,  60.0,  64.7, 108.5, 130.7,  60.3,  213.1,  143.6,  235.1,  303.9,  883.0
1895,  69.5,    6.1,   49.1,   53.1,    9.3,   16.8,  97.2,  66.1,  21.7,  90.0, 131.2,  70.1,  135.9,  111.5,  180.1,  242.9,  680.1
1896,  23.2,    9.8,   82.1,   17.4,    7.8,   66.3,  29.4,  62.9, 167.0,  96.7,  32.2, 108.7,  103.1,  107.3,  158.6,  295.9,  703.4
1897,  60.5,   77.2,  109.6,   50.9,   33.0,   61.9,  25.1,  88.1,  67.5,  20.5,  31.4,  98.3,  246.3,  193.6,  175.2,  119.3,  724.0
1898,  16.7,   38.7,   29.4,   35.6,   88.1,   45.1,  14.6,  35.9,  24.8,  96.8,  92.1,  72.3,  153.6,  153.1,   95.6,  213.6,  590.0
1899,  85.9,   72.3,   19.2,   72.5,   40.6,   35.8,  29.8,  26.6,  69.8,  63.9, 107.6,  46.6,  230.5,  132.3,   92.1,  241.3,  670.5
1900,  89.2,  130.5,   28.4,   31.9,   34.7,   69.6,  29.8,  69.2,  21.7,  62.2,  76.1,  99.3,  266.3,   95.1,  168.7,  160.0,  742.8
1901,  31.9,   40.9,   56.6,   59.2,   26.9,   39.0,  64.1,  50.7,  46.5,  61.0,  16.8, 119.2,  172.0,  142.7,  153.8,  124.3,  612.7
1902,  26.2,   35.6,   46.7,   30.2,   60.6,   81.7,  34.3,  96.7,  29.8,  54.3,  71.6,  48.4,  180.9,  137.5,  212.8,  155.6,  616.0
1903,  70.1,   40.6,   83.2,   61.7,   79.9,  114.1,  98.2, 101.6,  66.3, 187.1,  55.0,  61.7,  159.1,  224.8,  314.0,  308.4, 1019.7
1904, 105.9,   90.1,   37.4,   33.3,   74.1,   28.1,  47.9,  57.0,  45.8,  50.3,  40.0,  76.5,  257.7,  144.7,  132.9,  136.1,  686.3
1905,  25.1,   19.2,  106.8,   52.4,   20.9,  110.7,  17.8,  78.1,  52.3,  46.3, 104.9,  22.2,  120.8,  180.2,  206.6,  203.4,  656.7
1906, 130.1,   66.2,   39.4,   23.5,   52.6,   58.4,  19.7,  27.0,  34.4, 127.6, 123.6,  54.8,  218.5,  115.4,  105.0,  285.6,  757.1
1907,  25.0,   38.6,   22.6,   90.0,   57.3,   56.3,  44.4,  50.7,  15.9, 152.2,  64.9,  94.7,  118.4,  169.9,  151.5,  233.0,  712.7
1908,  42.4,   32.4,   76.2,   69.7,   46.9,   30.5,  66.0,  93.9,  48.3,  47.1,  29.1,  75.9,  169.4,  192.7,  190.4,  124.5,  658.2
1909,  25.9,   13.9,   98.3,   43.9,   38.1,   87.6,  74.0,  67.0,  83.1, 161.7,  22.3, 107.4,  115.6,  180.3,  228.6,  267.2,  823.2
1910,  72.2,   98.9,   31.6,   55.8,   55.3,   82.5,  62.3,  67.1,  11.4,  95.3, 104.9, 119.8,  278.6,  142.8,  211.8,  211.6,  857.2
1911,  34.7,   42.3,   57.0,   43.1,   39.9,   53.2,   9.7,  27.2,  34.0, 104.6, 118.3, 181.7,  196.8,  140.0,   90.0,  256.9,  745.6
1912,  92.7,   61.5,  108.8,    2.3,   34.4,   93.5,  49.9, 156.2,  67.5,  91.8,  55.8, 100.0,  335.8,  145.5,  299.6,  215.1,  914.4
1913, 111.4,   28.8,   75.3,   81.0,   52.8,   16.0,  49.5,  40.4,  64.1, 111.0,  84.6,  40.8,  240.2,  209.1,  105.9,  259.7,  755.7
1914,  19.0,  102.2,  128.0,   34.0,   35.2,   31.1,  65.9,  46.7,  29.4,  64.1, 102.1, 205.7,  162.0,  197.1,  143.6,  195.6,  863.1
1915, 104.3,  127.0,   24.3,   33.7,   92.4,   25.5, 105.9,  55.1,  63.9,  85.0,  74.4, 180.9,  437.0,  150.4,  186.6,  223.3,  972.5
1916,  37.1,  122.0,  103.1,   29.3,   49.8,   59.3,  31.0,  90.6,  44.5, 127.3, 120.5,  96.5,  339.9,  182.1,  180.9,  292.3,  910.9
1917,  36.6,   26.0,   57.0,   52.1,   51.4,   68.8, 102.2, 144.6,  43.3, 110.0,  31.0,  42.9,  159.1,  160.5,  315.6,  184.3,  766.0
1918,  88.3,   32.8,   26.7,   71.6,   44.6,   26.6, 123.1,  41.4, 147.4,  49.0,  64.3,  66.4,  164.0,  142.9,  191.1,  260.7,  782.3
1919, 118.8,   67.2,  114.8,   66.7,   11.7,   24.5,  53.0,  74.3,  41.4,  25.0,  58.6, 129.4,  252.5,  193.2,  151.9,  125.1,  785.5
1920,  89.2,   18.0,   48.1,   88.6,   34.5,   50.4, 128.4,  38.7,  62.6,  57.1,  40.4,  74.6,  236.6,  171.2,  217.5,  160.1,  730.6
1921,  75.7,   12.0,   36.7,   28.2,   41.2,    4.7,   9.7,  43.8,  32.5,  26.6,  52.3,  47.7,  162.3,  106.2,   58.2,  111.3,  411.2
1922,  97.7,   71.2,   59.4,   84.3,   23.0,   35.8,  98.5,  80.9,  56.1,  34.5,  45.5,  97.8,  216.6,  166.7,  215.2,  136.1,  784.7
1923,  41.8,  122.1,   58.0,   69.6,   63.5,   12.5,  40.0,  61.5,  54.5, 152.5,  52.0,  81.2,  261.7,  191.2,  114.0,  258.9,  809.1
1924,  77.0,   14.5,   35.8,   82.2,  101.5,   64.4, 100.9,  74.9,  99.6, 112.4,  77.5, 121.1,  172.7,  219.6,  240.2,  289.5,  961.8
1925,  79.7,  109.4,   17.7,   65.1,   84.4,    3.3,  94.0,  71.6,  76.2,  94.4,  71.2,  92.6,  310.2,  167.2,  168.8,  241.8,  859.5
1926, 100.9,   62.8,   13.3,   90.4,   55.1,   75.4,  50.2,  40.6,  24.0,  72.8, 172.7,  14.2,  256.3,  158.7,  166.1,  269.5,  772.3
1927,  65.6,  109.0,   87.4,   49.0,   26.1,   85.6,  88.9, 105.5, 138.4,  53.1,  84.5, 106.0,  188.9,  162.5,  280.0,  275.9,  999.2
1928, 117.6,   48.3,   60.5,   51.1,   45.7,   65.0,  46.9,  58.7,  28.5, 151.3,  83.8,  79.9,  271.9,  157.4,  170.5,  263.5,  837.3
1929,  33.6,   21.7,    2.8,   24.7,   49.0,   37.4,  40.4,  49.8,  13.4, 102.1, 190.4, 179.5,  135.3,   76.6,  127.6,  305.9,  744.8
1930, 100.7,   27.7,   39.1,   53.9,   61.4,   22.8,  63.9,  87.5,  87.9,  48.9, 131.4,  80.0,  307.9,  154.4,  174.2,  268.2,  805.2
1931,  54.2,   55.7,   12.9,   85.5,   72.7,   49.6,  90.9, 105.9,  51.4,  16.5, 101.9,  21.9,  190.0,  171.0,  246.4,  169.9,  719.1
1932,  70.8,    7.1,   43.5,   70.7,  109.8,   35.5,  83.4,  28.0,  74.4, 155.2,  40.4,  23.8,   99.8,  223.9,  147.0,  269.9,  742.4
1933,  57.7,   84.3,   78.0,   28.5,   51.9,   48.3,  50.8,  22.2,  83.8,  52.5,  26.9,  16.8,  165.8,  158.4,  121.3,  163.2,  601.8
1934,  64.0,    4.0,   71.8,   58.5,   19.8,   34.3,  40.7,  63.6,  50.4,  48.6,  70.5, 196.8,   84.8,  150.1,  138.6,  169.5,  723.0
1935,  25.2,   89.9,   15.7,   93.0,   35.3,   88.9,  22.7,  78.8, 112.7, 110.9, 164.2,  99.7,  311.9,  144.0,  190.4,  387.9,  937.0
1936, 123.0,   60.3,   49.3,   49.4,   14.6,   79.8, 108.4,  18.8,  74.3,  47.5, 103.2,  75.9,  282.9,  113.3,  207.1,  224.9,  804.4
