time,step,number,surface,latitude,longitude,valid_time,tp,actual_latitude,actual_longitude,target_latitude,target_longitude
2022-01-03 06:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-03 14:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-03 06:00:00,0 days 06:00:00,0,0.0,51.6,-0.2,2022-01-03 12:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-03 06:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-03 15:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-03 06:00:00,0 days 04:00:00,0,0.0,51.6,-0.2,2022-01-03 10:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-03 06:00:00,0 days 03:00:00,0,0.0,51.6,-0.2,2022-01-03 09:00:00,5.662441e-07,51.6,-0.2,51.5074,-0.1278
2022-01-03 06:00:00,0 days 02:00:00,0,0.0,51.6,-0.2,2022-01-03 08:00:00,6.109476e-06,51.6,-0.2,51.5074,-0.1278
2022-01-03 06:00:00,0 days 01:00:00,0,0.0,51.6,-0.2,2022-01-03 07:00:00,8.4102154e-05,51.6,-0.2,51.5074,-0.1278
2022-01-03 06:00:00,0 days 05:00:00,0,0.0,51.6,-0.2,2022-01-03 11:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-03 06:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-03 13:00:00,0.0,51.6,-0.2,51.5074,-0.1278
2022-01-03 18:00:00,0 days 07:00:00,0,0.0,51.6,-0.2,2022-01-04 01:00:00,1.9907951e-05,51.6,-0.2,51.5074,-0.1278
2022-01-03 18:00:00,0 days 12:00:00,0,0.0,51.6,-0.2,2022-01-04 06:00:00,1.579523e-05,51.6,-0.2,51.5074,-0.1278
2022-01-03 18:00:00,0 days 11:00:00,0,0.0,51.6,-0.2,2022-01-04 05:00:00,1.3411045e-06,51.6,-0.2,51.5074,-0.1278
2022-01-03 18:00:00,0 days 10:00:00,0,0.0,51.6,-0.2,2022-01-04 04:00:00,1.2516975e-06,51.6,-0.2,51.5074,-0.1278
2022-01-03 18:00:00,0 days 09:00:00,0,0.0,51.6,-0.2,2022-01-04 03:00:00,1.1324883e-06,51.6,-0.2,51.5074,-0.1278
2022-01-03 18:00:00,0 days 08:00:00,0,0.0,51.6,-0.2,2022-01-04 02:00:00,5.9604645e-07,51.6,-0.2,51.5074,-0.1278
2022-01-03 18:00:00,0 days 06:00:00,0,0.0,51.6,-0.2,2022-01-04 00:00:00,2.861023e-05,51.6,-0.2,51.5074,-0.1278
